City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sinabang,2.4803,96.3801,27.01,79,62,1.35,ID,1707072965
1,bredasdorp,-34.5322,20.0403,22.87,82,25,2.3,ZA,1707072967
2,port-aux-francais,-49.35,70.2167,5.05,72,7,10.06,TF,1707072968
3,puerto natales,-51.7236,-72.4875,25.25,38,75,15.95,CL,1707072968
4,stanley,54.868,-1.6985,12.38,83,75,10.8,GB,1707072968
5,grytviken,-54.2811,-36.5092,4.04,70,18,6.5,GS,1707072968
6,jamestown,42.097,-79.2353,9.73,42,0,2.06,US,1707072969
7,saint-philippe,-21.3585,55.7679,22.77,72,38,3.6,RE,1707072969
8,fortuna,40.5982,-124.1573,8.19,97,75,0.0,US,1707072969
9,kingston,17.997,-76.7936,29.53,70,40,4.12,JM,1707072969
10,codrington,-38.2667,141.9667,15.95,82,100,6.21,AU,1707072969
11,kirakira,-10.4544,161.9205,26.56,88,55,4.05,SB,1707072970
12,potchefstroom,-26.7167,27.1,23.46,39,75,2.38,ZA,1707072970
13,azadshahr,34.7909,48.5707,-3.73,68,0,4.12,IR,1707072970
14,afaahiti,-17.75,-149.2833,26.93,86,100,6.66,PF,1707072970
15,urangan,-25.3,152.9,23.44,89,13,2.68,AU,1707072970
16,kawm umbu,24.4767,32.9463,14.23,23,5,5.03,EG,1707072971
17,san patricio,28.017,-97.5169,24.05,35,0,11.18,US,1707072971
18,albany,42.6001,-73.9662,4.77,55,2,1.34,US,1707072963
19,rio gallegos,-51.6226,-69.2181,28.03,30,20,11.32,AR,1707072971
20,labrador city,52.9463,-66.9114,-10.05,57,75,2.06,CA,1707072778
21,flying fish cove,-10.4217,105.6791,24.82,94,75,1.54,CX,1707072972
22,omutninsk,58.67,52.1932,-11.69,96,99,3.64,RU,1707072972
23,mutuali,-14.8706,37.0044,21.89,93,93,1.17,MZ,1707072972
24,puerto quijarro,-17.7833,-57.7667,32.01,47,100,1.54,BO,1707072972
25,oblivskaya,48.5362,42.5014,1.89,94,100,5.24,RU,1707072973
26,college,64.8569,-147.8028,-22.28,72,75,0.0,US,1707072973
27,ola,59.5833,151.2833,-23.5,85,12,4.6,RU,1707072973
28,waitangi,-43.9535,-176.5597,17.12,88,95,0.45,NZ,1707072474
29,blackmans bay,-43.0167,147.3167,12.51,96,49,0.45,AU,1707072973
30,adamstown,-25.066,-130.1015,24.91,79,100,3.69,PN,1707072974
31,sisimiut,66.9395,-53.6735,-20.71,96,96,2.83,GL,1707072974
32,egilsstadir,65.2653,-14.3948,-7.05,79,100,1.54,IS,1707072974
33,saldanha,-33.0117,17.9442,23.03,84,100,2.77,ZA,1707072974
34,hermanus,-34.4187,19.2345,21.0,88,4,1.03,ZA,1707072975
35,longyearbyen,78.2186,15.6401,-1.09,74,40,11.32,SJ,1707072975
36,tarauaca,-8.1614,-70.7656,30.97,65,79,1.75,BR,1707072868
37,la passe,45.5549,-0.8967,8.13,88,91,2.52,FR,1707072975
38,shalkar,47.8288,59.6258,0.71,94,100,7.79,KZ,1707072976
39,zayed city,24.3768,54.589,21.67,51,0,2.57,AE,1707072976
40,sittwe,20.15,92.9,19.01,60,1,5.28,MM,1707072976
41,kiffa,16.6166,-11.4045,27.68,8,67,4.65,MR,1707072976
42,ormara,25.2088,64.6357,22.3,63,9,5.5,PK,1707072976
43,cooma,-36.2333,149.1333,21.57,60,100,5.41,AU,1707072977
44,bethel,41.3712,-73.414,7.23,46,0,4.12,US,1707072977
45,leava,-14.3,-178.1667,28.39,74,100,3.4,WF,1707072977
46,tiksi,71.6872,128.8694,-33.62,100,95,0.3,RU,1707072622
47,kuanda,56.3161,116.0806,-28.05,96,100,0.48,RU,1707072977
48,galle,6.0367,80.217,25.37,85,92,2.36,LK,1707072978
49,barcelos,41.5388,-8.6151,15.51,83,100,1.17,PT,1707072843
50,nandlstadt,48.5333,11.8,10.12,78,40,8.75,DE,1707072978
51,arraial do cabo,-22.9661,-42.0278,29.98,78,75,7.2,BR,1707072978
52,rongelap,11.1635,166.8941,26.28,74,100,7.77,MH,1707072979
53,kosh-agach,50.0,88.6667,-23.72,86,100,1.34,RU,1707072979
54,nova sintra,14.8667,-24.7167,21.52,69,0,3.85,CV,1707072979
55,wailua homesteads,22.0669,-159.378,22.44,73,40,10.8,US,1707072979
56,kidatu,-7.6992,36.9572,23.71,96,96,1.03,TZ,1707072979
57,edinburgh of the seven seas,-37.0676,-12.3116,15.75,77,70,9.17,SH,1707072980
58,ribeira grande,38.5167,-28.7,17.65,94,75,9.39,PT,1707072980
59,cumnock,55.4544,-4.2664,10.71,96,100,11.66,GB,1707072980
60,haiku-pauwela,20.9219,-156.3051,20.58,83,75,5.36,US,1707072980
61,chibougamau,49.9168,-74.3659,-7.21,93,0,0.0,CA,1707072585
62,ilulissat,69.2167,-51.1,-21.99,54,20,2.06,GL,1707072981
63,utrik,11.2278,169.8474,25.93,72,39,7.12,MH,1707072981
64,tandalti,13.0167,31.8667,21.76,14,7,5.84,SD,1707072981
65,lata,40.1629,-8.3327,14.95,80,100,0.33,PT,1707072982
66,chonchi,-42.6128,-73.8092,25.62,30,3,0.97,CL,1707072982
67,marquette,46.5333,-87.6335,1.2,85,9,0.45,US,1707072982
68,dossor,47.5272,52.9811,1.93,97,100,11.03,KZ,1707072982
69,tobelo,1.7284,128.0095,26.08,83,98,1.01,ID,1707072982
70,callao,-12.0667,-77.15,29.16,58,40,3.6,PE,1707072892
71,yellowknife,62.456,-114.3525,-19.84,79,20,2.06,CA,1707072479
72,ushuaia,-54.8,-68.3,16.81,59,75,7.2,AR,1707072983
73,mont-laurier,46.5501,-75.4993,-0.21,86,98,1.18,CA,1707072788
74,sarmiento,-45.5882,-69.07,31.88,15,20,10.48,AR,1707072983
75,hithadhoo,-0.6,73.0833,28.47,76,99,5.74,MV,1707072984
76,lihue,21.9789,-159.3672,22.77,67,40,10.8,US,1707072984
77,susuman,62.7833,148.1667,-28.9,99,100,1.34,RU,1707072984
78,yangjiang,21.85,111.9667,20.49,90,88,2.86,CN,1707072984
79,dowlatabad,32.7998,51.6955,-1.18,47,0,4.12,IR,1707072984
80,invercargill,-46.4,168.35,13.9,99,98,1.34,NZ,1707072985
